addr,name,size,decomp_ok
08018514,FUN_08018514,20,1
08018528,FUN_08018528,6,1
08018538,FUN_08018538,150,1
080185e0,FUN_080185e0,172,1
0801869c,FUN_0801869c,40,1
080186c4,FUN_080186c4,14,1
080186d2,FUN_080186d2,4,1
080186d6,FUN_080186d6,18,1
080186e8,FUN_080186e8,36,1
0801870c,FUN_0801870c,24,1
08018724,FUN_08018724,14,1
08018732,FUN_08018732,28,1
0801874e,FUN_0801874e,26,1
08018768,FUN_08018768,18,1
0801877a,FUN_0801877a,30,1
08018798,FUN_08018798,48,1
080187d0,FUN_080187d0,296,1
080188f8,FUN_080188f8,556,1
08018b30,FUN_08018b30,322,1
08018c7e,FUN_08018c7e,228,1
08018d62,FUN_08018d62,252,1
08018e40,FUN_08018e40,44,1
08018e6c,FUN_08018e6c,120,1
08018e88,FUN_08018e88,34,1
08018eaa,FUN_08018eaa,26,1
08018ec4,FUN_08018ec4,24,1
08018edc,FUN_08018edc,66,1
08018f1e,FUN_08018f1e,62,1
08018f5c,FUN_08018f5c,50,1
08018f8e,FUN_08018f8e,48,1
08018fbe,FUN_08018fbe,38,1
08018fe4,FUN_08018fe4,48,1
08019014,FUN_08019014,48,1
08019044,FUN_08019044,74,1
0801907c,FUN_0801907c,44,1
080190a8,FUN_080190a8,32,1
080190c8,FUN_080190c8,6,1
080190d4,FUN_080190d4,134,1
08019160,FUN_08019160,12,1
0801916c,FUN_0801916c,20,1
080191c8,FUN_080191c8,54,1
080191fe,FUN_080191fe,90,1
080192f0,FUN_080192f0,156,1
0801938c,FUN_0801938c,162,1
08019430,FUN_08019430,36,1
08019454,FUN_08019454,824,1
080197b4,FUN_080197b4,86,1
0801980c,FUN_0801980c,74,1
08019858,FUN_08019858,6,1
08019860,FUN_08019860,32,1
08019880,FUN_08019880,110,1
080198f0,FUN_080198f0,160,1
08019990,FUN_08019990,56,1
080199c8,FUN_080199c8,10,1
080199d4,FUN_080199d4,46,1
08019a04,FUN_08019a04,278,1
08019b1c,FUN_08019b1c,1142,1
08019f94,FUN_08019f94,252,1
0801a090,FUN_0801a090,110,1
0801a100,FUN_0801a100,138,1
0801a18c,FUN_0801a18c,148,1
0801a220,FUN_0801a220,164,1
0801a2c4,FUN_0801a2c4,2982,1
0801ae6c,FUN_0801ae6c,70,1
0801aeb4,FUN_0801aeb4,208,1
0801af84,FUN_0801af84,78,1
0801afd4,FUN_0801afd4,62,1
0801b014,FUN_0801b014,102,1
0801b07c,FUN_0801b07c,4,1
0801b080,FUN_0801b080,374,1
0801b1f8,FUN_0801b1f8,36,1
