nth  paddr      vaddr      len size section type    string
335  0x08013860 0x08013860 4   5            ascii   comm
336  0x0801386c 0x0801386c 4   5            ascii   Ah\b{
337  0x08013871 0x08013871 4   6            utf8    \a\tЂ\a
338  0x08013900 0x08013900 18  19           ascii   \rJ\n`\rJJ`\rJJa\rJ\na\rJ
339  0x08013972 0x08013972 4   5            ascii   BL`h
340  0x0801398d 0x0801398d 6   8            utf8    (`h<Ђ{
341  0x0801399d 0x0801399d 4   6            utf8    *_Ёs
342  0x080139a5 0x080139a5 4   5            ascii   tAt|
343  0x080139b1 0x080139b1 6   8            utf8    |\t*(ق{
344  0x080139c1 0x080139c1 4   5            ascii   sAt.
345  0x080139dd 0x080139dd 6   8            utf8    {\t*\nق{
346  0x080139ed 0x080139ed 4   5            ascii   tAt2
347  0x08013a01 0x08013a01 4   5            ascii   tA|I
348  0x08013a0c 0x08013a0c 7   9            utf8    B|\t*\nق{
349  0x08013a3b 0x08013a3b 4   5            ascii   tAt&
350  0x08013a7f 0x08013a7f 12  13           ascii    left lifted
351  0x08013a8f 0x08013a8f 34  35           ascii   \b..\src\application\process_comm.c
352  0x08013ab4 0x08013ab4 4   5            ascii   comm
353  0x08013abc 0x08013abc 11  12           ascii   both lifted
354  0x08013ac8 0x08013ac8 12  13           ascii   right lifted
355  0x08013ad8 0x08013ad8 9   10           ascii   lift none
356  0x08013af1 0x08013af1 4   6            utf8    ,\eӀ,
357  0x08013b4f 0x08013b4f 4   5            ascii   F*F`
358  0x08013b64 0x08013b64 4   5            ascii   #\t)F
359  0x08013bbf 0x08013bbf 4   5            ascii   GCMO
360  0x08013c10 0x08013c10 4   5            ascii   RoRh
361  0x08013c32 0x08013c32 4   5            ascii   hh@h
362  0x08013c39 0x08013c39 4   5            ascii   G\n&O
363  0x08013c76 0x08013c76 5   6            ascii   rAd%E
364  0x08013ca6 0x08013ca6 5   6            ascii   zA^\er
365  0x08013cd3 0x08013cd3 30  31           ascii    malloc all sensor data failed
366  0x08013cf7 0x08013cf7 40  41           ascii   \b..\src\application\process_deal_board.c
367  0x08013d20 0x08013d20 7   8            ascii   init_bd
368  0x08013d5b 0x08013d5b 7   8            ascii   h!aH`(h
369  0x08013e39 0x08013e39 5   6            ascii   aPa`h
370  0x08013e43 0x08013e43 6   7            ascii   @\bC``p
371  0x08013e67 0x08013e67 4   5            ascii   hAa!
372  0x08013e76 0x08013e76 4   5            ascii   |Rah
373  0x08013eeb 0x08013eeb 5   6            ascii   CC`pG
374  0x08013f37 0x08013f37 4   5            ascii    pGp
375  0x08013f95 0x08013f95 4   5            ascii   F\nH\b
376  0x08013fd2 0x08013fd2 4   5            ascii   *N0F
377  0x08013fe3 0x08013fe3 4   5            ascii   $w%@
378  0x08013ffe 0x08013ffe 6   7            ascii   \f@iF0F
379  0x08014013 0x08014013 4   5            ascii   !0F\a
